id,nombre,fecha_inicio,fecha_fin,cuatrienio_id
1,Primera,1994-07-20,1995-06-20,5
2,Segunda,1995-07-20,1996-06-20,5
3,Tercera,1996-07-20,1997-06-20,5
4,Cuarta,1997-07-20,1998-06-20,5
5,Primera,1998-07-20,1999-06-20,1
6,Segunda,1999-07-20,2000-06-20,1
7,Tercera,2000-07-20,2001-06-20,1
8,Cuarta,2001-07-20,2002-06-20,1
9,Primera,2002-07-20,2003-06-20,4
10,Segunda,2003-07-20,2004-06-20,4
11,Tercera,2004-07-20,2005-06-20,4
12,Cuarta,2005-07-20,2006-06-20,4
13,Primera,2006-07-20,2007-06-20,2
14,Segunda,2007-07-20,2008-06-20,2
15,Tercera,2008-07-20,2009-06-20,2
16,Cuarta,2009-07-20,2010-06-20,2
18,Segunda,2011-07-20,2012-06-20,6
19,Tercera,2012-07-20,2013-06-20,6
20,Cuarta,2013-07-20,2014-06-20,6
17,Primera,2010-07-20,2011-06-20,6
21,Primera,2014-07-20,2015-07-19,7
22,Segunda,2015-07-20,2016-07-19,7
23,Tercera,2016-07-20,2017-07-19,7
24,Cuarta,2017-07-20,2018-07-19,7
