id,created_at,edited_at,congresista_alianza_id,congresista_alianza2_id,periodo_id,partido_id
2,2010-01-14 20:35:34.619726,2010-01-14 20:35:34.619749,98,60,2,NA
3,2010-01-14 20:35:34.664569,2010-01-14 20:35:34.664623,142,60,2,NA
6,2010-01-16 22:15:16.529139,2010-01-16 22:15:16.529164,49,141,1,NA
7,2010-01-16 22:15:16.566332,2010-01-16 22:15:16.566353,87,141,2,NA
8,2010-01-16 22:15:16.574159,2010-01-16 22:15:16.574180,126,141,2,NA
9,2010-01-18 19:13:07.779801,2010-01-18 19:13:07.779824,12,11,2,NA
16,2010-01-19 22:05:11.095692,2010-01-19 22:05:11.095715,793,246,2,NA
17,2010-01-19 22:05:11.096618,2010-01-19 22:05:11.096639,180,246,2,NA
18,2010-01-19 22:05:11.097378,2010-01-19 22:05:11.097399,23,246,2,NA
19,2010-01-22 00:46:02.869547,2010-01-22 00:46:02.869570,792,1333,4,NA
20,2010-01-22 00:46:02.902350,2010-01-22 00:46:02.902372,914,1333,4,NA
21,2010-01-22 00:46:02.903116,2010-01-22 00:46:02.903137,46,1333,4,NA
25,2010-02-22 17:03:39.756874,2010-02-22 17:03:39.756908,927,205,2,NA
26,2010-02-22 17:03:39.833064,2010-02-22 17:03:39.833116,180,205,2,NA
27,2010-02-22 17:03:39.833961,2010-02-22 17:03:39.833983,252,205,2,NA
28,2011-04-07 20:30:01.076687,2011-04-07 20:30:01.076731,1219,198,6,NA
29,2011-04-07 20:30:01.102304,2011-04-07 20:30:01.102352,2075,198,6,NA
30,2011-04-07 20:30:01.103574,2011-04-07 20:30:01.103611,140,198,6,NA
31,2012-06-21 20:37:36.196083,2012-06-21 20:37:36.196111,20,1200,2,NA
32,2012-06-21 20:37:36.199287,2012-06-21 20:37:36.199312,136,1200,6,NA
33,2014-01-17 21:43:19.156075,2014-01-17 21:43:19.156101,862,209,2,2
34,2014-01-17 21:43:19.176629,2014-01-17 21:43:19.176652,192,209,2,6
35,2014-01-17 21:43:19.177429,2014-01-17 21:43:19.177452,92,209,4,2
36,2014-01-21 20:20:10.864377,2014-01-21 20:20:10.864404,1177,206,7,4
37,2014-01-21 20:20:10.882173,2014-01-21 20:20:10.882198,2279,206,7,5
38,2014-01-21 20:20:10.883165,2014-01-21 20:20:10.883191,862,206,7,2
39,2014-01-23 14:02:36.212993,2014-01-23 14:02:36.213045,1912,2017,6,12
40,2014-01-23 14:02:36.229863,2014-01-23 14:02:36.229913,1894,2017,6,12
41,2014-01-23 14:02:36.231553,2014-01-23 14:02:36.231603,2448,2017,6,146
22,2010-01-25 23:43:16.361647,2014-02-14 19:23:08.900925,10,112,2,NA
23,2010-01-25 23:43:16.431697,2014-02-14 19:23:08.942568,4,112,2,NA
24,2010-01-25 23:43:16.432516,2014-02-14 19:23:08.977168,28,112,2,NA
42,2014-02-18 19:51:20.530014,2014-02-18 19:51:20.530070,77,2233,6,6
43,2014-02-18 19:51:20.549760,2014-02-18 19:51:20.549811,2447,2233,6,4
44,2014-02-18 19:51:20.551703,2014-02-18 19:55:33.218238,281,2233,6,5
45,2014-02-18 20:20:59.717151,2014-02-18 20:20:59.717223,1055,38,6,5
46,2014-02-18 20:20:59.731004,2014-02-18 20:20:59.731056,819,38,6,6
47,2014-02-18 20:20:59.732760,2014-02-18 20:20:59.732812,1894,38,6,12
48,2014-10-10 23:00:01.968117,2014-10-10 23:00:01.968147,388,1468,5,40
49,2014-10-10 23:00:02.026821,2014-10-10 23:00:02.026840,1468,1468,5,40
50,2014-10-10 23:00:02.027435,2014-10-10 23:00:02.027453,128,1468,5,40
