id,nombre_partido
1,Alianza Verde
2,Autoridades indígenas de Colombia AICO
3,Autoridades Indígenas de Medicina Ancestral de Colombia – Aimac
4,Cambio Radical
5,Centro Democrático
6,Conservador Colombiano
7,Fundación Ébano de Colombia Funeco
8,Liberal Colombiano
9,MIRA
10,Movimiento Alternativo Indígena y Social – MAIS
11,Movimiento de Integración Regional – MIR
12,Movimiento Político Cien por Ciento por Colombia
13,Movimiento Progresistas
14,Opción Ciudadana
15,Partido Social de Unidad Nacional – Partido de la U
16,Polo Democrático Alternativo
17,Por un Huila Mejor
18,Movimiento Renovador de Acción Social - Moral
99,No hay congresista demandante
